uf,ano_mes,solicitacoes
AM,2018-01,1674
AM,2020-02,1673
MT,2019-10,1672
MT,2018-07,1672
AM,2018-03,1669
AM,2018-11,1664
MS,2019-12,1663
RN,2019-08,1663
AM,2016-10,1661
AM,2019-09,1660
PI,2016-11,1652
SE,2019-06,1650
MT,2019-08,1648
MS,2018-09,1647
AL,2019-01,1645
PI,2015-06,1644
SE,2020-02,1642
MT,2019-04,1642
RN,2018-11,1638
AM,2017-02,1633
AL,2020-01,1626
MA,2015-01,1625
PI,2015-05,1625
MT,2020-02,1621
AM,2019-06,1618
PI,2016-07,1615
PI,2016-12,1614
PI,2019-01,1613
RN,2019-02,1611
RN,2019-09,1609
RN,2018-12,1608
MS,2019-10,1604
PI,2017-08,1602
RN,2017-12,1597
AL,2015-06,1589
RN,2018-03,1589
PI,2016-10,1588
PI,2018-08,1587
AM,2017-11,1586
MA,2020-02,1585
MS,2018-12,1585
AL,2016-08,1575
PI,2018-07,1573
AL,2020-04,1572
AL,2015-09,1571
MT,2018-09,1570
MS,2019-06,1569
RN,2018-06,1564
AM,2017-04,1564
MS,2019-11,1562
AL,2019-08,1561
MT,2019-09,1558
MS,2018-06,1558
AM,2019-12,1558
PI,2020-05,1558
MT,2019-06,1556
MT,2018-06,1552
PI,2015-11,1551
AL,2017-05,1550
RN,2020-02,1550
AL,2017-08,1549
PI,2015-10,1542
PI,2018-10,1536
MA,2019-11,1532
PI,2017-07,1528
PI,2018-02,1527
RN,2019-10,1526
AM,2018-04,1523
PI,2017-11,1521
AM,2017-09,1517
PB,2015-01,1516
MS,2015-01,1515
RN,2019-12,1515
PI,2017-10,1514
PI,2015-12,1514
AL,2017-03,1504
PI,2015-03,1504
AL,2016-11,1502
AM,2018-07,1499
AL,2015-10,1498
MT,2019-12,1497
MT,2018-12,1496
PI,2017-09,1494
PI,2018-06,1492
AL,2016-03,1491
PI,2019-07,1488
AL,2016-06,1484
PI,2020-04,1483
PI,2017-06,1482
SE,2015-01,1480
RN,2018-02,1472
AL,2015-12,1471
RN,2018-09,1471
PI,2019-02,1470
PI,2020-01,1467
AL,2017-01,1465
AL,2015-05,1459
RN,2019-06,1454
AM,2015-02,1450
AL,2016-12,1450
AM,2018-08,1446
AL,2016-07,1445
AM,2019-11,1442
AL,2018-01,1440
PI,2016-09,1438
PI,2017-12,1434
AL,2017-10,1430
AL,2017-07,1421
AL,2019-05,1420
AL,2015-11,1420
AL,2019-04,1418
MT,2019-11,1417
AL,2017-09,1416
AL,2018-11,1415
AM,2018-05,1412
AL,2018-10,1410
PI,2019-05,1407
PI,2015-04,1404
AL,2020-02,1403
AL,2016-05,1401
AM,2018-02,1397
AM,2017-12,1397
AL,2017-11,1394
AL,2018-12,1392
PI,2018-11,1390
AL,2020-03,1386
PI,2019-04,1383
RN,2015-02,1381
AL,2017-06,1376
AM,2018-06,1375
AL,2016-01,1372
PI,2018-12,1371
AL,2016-09,1370
PI,2020-03,1362
MT,2015-01,1361
PI,2018-09,1358
AL,2019-12,1358
AL,2015-03,1358
AL,2019-02,1358
AL,2019-10,1352
RN,2019-11,1349
AL,2016-10,1348
PI,2019-08,1348
AL,2016-04,1333
AL,2016-02,1329
PI,2019-03,1327
AL,2015-04,1314
AM,2018-09,1310
AL,2019-06,1310
AL,2018-03,1297
PI,2020-02,1290
AL,2018-04,1283
AL,2018-05,1278
AL,2018-08,1278
PI,2019-09,1267
PI,2019-10,1266
AL,2019-11,1265
AL,2019-09,1261
AL,2018-09,1258
AL,2018-02,1253
AL,2017-12,1251
AL,2019-03,1242
AL,2018-07,1195
AL,2017-02,1188
AM,2015-01,1182
PI,2019-06,1168
AL,2018-06,1150
RN,2015-01,1150
AL,2017-04,1149
PI,2019-12,1149
PI,2019-11,1140
RO,2015-07,939
RO,2015-09,930
AL,2015-02,927
RO,2015-08,904
RO,2016-03,901
PI,2015-02,896
RO,2017-05,882
RO,2015-05,873
RO,2015-12,870
RO,2016-04,854
  ,2016-06,852
AL,2015-01,850
RO,2017-03,840
RO,2016-06,837
RO,2015-11,829
RO,2016-07,828
RO,2015-03,827
TO,2016-03,826
RO,2016-05,826
RO,2015-06,824
RO,2016-08,821
RO,2016-01,813
RO,2015-10,806
RO,2017-08,786
  ,2019-01,785
RO,2015-04,769
TO,2016-04,759
RO,2020-04,758
RO,2017-01,755
TO,2016-02,733
RO,2016-02,728
TO,2015-07,725
  ,2018-10,724
TO,2016-06,723
PI,2015-01,719
RO,2017-09,712
TO,2016-01,710
TO,2015-06,708
TO,2015-12,706
RO,2017-02,706
TO,2015-09,705
TO,2015-08,702
  ,2016-08,702
  ,2016-07,700
  ,2017-03,696
TO,2015-03,681
TO,2015-10,676
RO,2017-04,676
RO,2016-12,676
RO,2017-10,674
  ,2017-07,672
  ,2017-02,670
TO,2017-03,668
RO,2020-05,667
RO,2016-10,664
RO,2016-09,663
TO,2017-01,661
RO,2016-11,661
TO,2015-04,660
TO,2015-11,658
TO,2020-01,656
TO,2015-05,656
RO,2017-06,650
  ,2017-01,648
TO,2016-08,644
RO,2017-07,633
TO,2016-05,626
TO,2020-04,626
TO,2016-12,622
TO,2020-05,616
  ,2018-05,611
  ,2016-09,601
TO,2018-01,600
RO,2018-03,594
RO,2019-01,593
RO,2017-11,592
TO,2016-11,590
  ,2019-02,589
  ,2017-05,588
RO,2019-07,586
  ,2018-04,586
RO,2018-10,580
  ,2015-03,574
  ,2017-08,568
TO,2016-07,563
TO,2016-10,561
RO,2020-01,560
  ,2016-12,557
TO,2020-03,549
TO,2017-08,548
  ,2018-12,548
  ,2018-01,548
TO,2017-02,547
RO,2015-02,547
  ,2016-03,545
RO,2018-01,545
RO,2019-02,545
TO,2017-05,541
  ,2016-05,539
RO,2018-08,539
RO,2019-05,538
RO,2018-07,537
RO,2019-04,535
  ,2018-02,534
TO,2019-01,530
  ,2017-10,528
RO,2017-12,527
  ,2018-11,526
TO,2016-09,525
  ,2019-03,524
RO,2019-03,522
RO,2018-02,520
TO,2017-10,517
  ,2018-03,517
RO,2018-11,516
  ,2018-09,516
  ,2017-04,514
RO,2020-03,513
  ,2017-06,512
TO,2019-12,512
RO,2018-04,507
  ,2016-10,506
  ,2016-01,501
  ,2017-09,501
  ,2016-02,499
TO,2017-11,497
  ,2017-12,497
  ,2016-11,494
RO,2020-02,490
TO,2019-02,488
RO,2019-10,485
RO,2019-08,485
TO,2017-07,481
TO,2018-10,481
RO,2018-05,481
TO,2017-06,480
TO,2018-03,480
RR,2015-07,480
RO,2019-09,478
TO,2017-04,478
RO,2018-06,477
RO,2018-09,477
TO,2019-11,473
RO,2018-12,468
  ,2017-11,466
RO,2015-01,465
RO,2019-06,464
TO,2015-02,460
TO,2020-02,457
TO,2017-09,456
TO,2018-05,454
  ,2019-05,452
TO,2018-02,452
TO,2019-08,452
TO,2019-10,446
  ,2015-12,442
  ,2019-04,441
TO,2017-12,440
TO,2018-12,430
TO,2019-07,430
TO,2019-03,425
TO,2019-05,425
RO,2019-12,424
RO,2019-11,424
TO,2019-09,424
TO,2018-04,420
TO,2019-04,416
TO,2018-11,413
TO,2018-08,407
  ,2015-09,407
RR,2015-06,406
  ,2015-10,404
  ,2016-04,402
  ,2019-07,398
TO,2018-09,392
RR,2015-08,390
  ,2015-11,383
RR,2015-12,383
TO,2015-01,383
  ,2015-07,376
TO,2018-07,371
AP,2019-06,368
AC,2020-04,365
RR,2016-05,365
  ,2015-06,363
TO,2018-06,360
RR,2015-09,359
TO,2019-06,359
AP,2015-10,354
AC,2019-04,353
RR,2016-06,348
AP,2015-07,345
AP,2016-03,339
  ,2015-08,338
AC,2020-05,336
AP,2015-12,328
RR,2015-05,326
AP,2019-04,324
AP,2019-05,322
RR,2016-03,321
AP,2017-05,318
AP,2015-08,317
AP,2016-08,315
RR,2016-02,313
AP,2019-01,313
RR,2015-11,312
AP,2015-05,312
AC,2017-01,309
RR,2016-08,306
RR,2016-04,304
AC,2017-03,304
AP,2015-09,300
AP,2015-06,299
AC,2016-12,299
AP,2017-03,296
AP,2017-07,293
AC,2019-01,293
AC,2015-06,291
AC,2016-08,290
AP,2017-06,290
AP,2015-04,290
  ,2019-09,289
AC,2017-09,288
AP,2015-03,287
AC,2017-05,287
AC,2015-03,285
AC,2017-10,284
RR,2015-10,283
AC,2017-08,279
  ,2019-06,279
AP,2016-09,278
AC,2019-03,275
AC,2015-04,275
AC,2019-05,272
AP,2016-01,271
AC,2019-02,270
AP,2017-08,270
AC,2020-03,269
AP,2018-10,269
AP,2017-01,268
AP,2016-02,266
AP,2015-11,265
AP,2019-03,265
RR,2016-07,264
AP,2018-12,263
  ,2019-08,262
AP,2016-11,262
AP,2017-04,262
AC,2015-08,259
AP,2019-02,259
RR,2016-01,259
AC,2015-10,258
AP,2016-10,258
AP,2018-11,255
RR,2015-03,255
AC,2017-02,254
AC,2019-07,254
AC,2020-01,253
AC,2018-07,252
AC,2015-07,252
AP,2020-03,251
AC,2018-10,250
AP,2020-04,250
AC,2016-06,249
AC,2018-08,248
  ,2019-10,248
AC,2017-07,248
AC,2017-06,248
AC,2020-02,246
AP,2016-04,244
AC,2019-06,243
AC,2018-11,242
RR,2017-03,241
AC,2016-03,241
AP,2018-01,240
RR,2015-04,239
AP,2020-05,239
AC,2019-11,238
AC,2018-12,238
AC,2019-09,237
  ,2015-05,236
AC,2018-01,235
AC,2015-05,234
AC,2015-12,232
AC,2015-09,232
AP,2019-09,232
AC,2016-10,231
AC,2016-07,230
AC,2017-12,229
AC,2019-08,228
AP,2019-10,226
AP,2016-05,225
AC,2016-11,225
AC,2017-04,224
AP,2016-07,224
AC,2018-05,223
AP,2016-06,221
AP,2018-05,221
AP,2017-09,221
AC,2016-09,220
AC,2019-10,220
AC,2015-11,219
AC,2019-12,219
AP,2019-08,219
RR,2016-09,218
AC,2016-05,217
AC,2018-09,217
RR,2017-05,217
AP,2018-04,215
AC,2016-04,215
AC,2018-03,213
AC,2018-02,213
RR,2017-08,213
AC,2018-04,211
AC,2016-01,211
RR,2017-01,211
AP,2017-12,209
AC,2017-11,209
RR,2016-11,204
AP,2015-02,203
AP,2018-02,202
AP,2018-06,202
AP,2019-07,201
AP,2019-12,200
AC,2016-02,200
AP,2018-03,199
AP,2016-12,195
RR,2017-07,195
AP,2017-10,193
  ,2019-11,193
RR,2017-02,192
AP,2015-01,191
AP,2020-01,190
AP,2017-02,190
AP,2017-11,187
RR,2019-01,186
AC,2018-06,186
RR,2017-11,183
RR,2017-04,182
RR,2016-10,181
RR,2018-08,173
RR,2017-12,170
AP,2018-07,169
RR,2016-12,168
AP,2018-09,167
RR,2018-01,166
AP,2018-08,165
AP,2019-11,165
RR,2017-10,164
RR,2017-06,161
RR,2018-03,160
RR,2019-05,157
RR,2019-07,153
RR,2019-08,152
RR,2020-04,151
RR,2020-05,151
RR,2018-11,150
RR,2019-09,149
RR,2019-02,148
RR,2018-02,148
RR,2017-09,147
AC,2015-01,147
RR,2018-10,145
AC,2015-02,144
RR,2018-04,143
RR,2019-04,143
RR,2019-03,143
RR,2018-12,141
RR,2019-06,140
RR,2018-07,140
RR,2015-02,136
RR,2019-10,134
RR,2020-03,131
RR,2020-01,130
AP,2020-02,125
RR,2018-09,125
  ,2015-04,124
RR,2015-01,120
RR,2018-06,119
RR,2019-12,117
RR,2018-05,115
RR,2019-11,107
RR,2020-02,93
,2020-05,19
,2020-04,16
,2020-03,15
,2020-01,7
,2019-12,4
,2020-02,2
