uf,ano_mes,solicitacoes
BA,2018-12,15168
BA,2020-03,15125
PR,2016-07,14984
PR,2017-03,14835
PR,2017-01,14835
PR,2019-05,14821
RS,2016-07,14683
PR,2016-11,14665
PR,2017-08,14656
RS,2017-01,14570
RS,2017-03,14553
RS,2016-10,14546
PR,2017-05,14525
RS,2016-06,14524
PR,2019-08,14504
PR,2020-05,14484
BA,2019-12,14470
BA,2018-02,14400
PR,2016-06,14364
PR,2019-04,14350
PR,2018-10,14258
BA,2018-06,14160
PR,2019-02,14135
BA,2018-09,14046
BA,2019-06,13945
PR,2019-10,13859
PR,2017-10,13858
PR,2016-05,13789
PR,2019-03,13778
PR,2016-04,13756
RS,2015-02,13728
PR,2016-09,13643
PR,2017-11,13642
RS,2016-12,13626
RS,2016-09,13612
RS,2017-05,13607
BA,2019-11,13587
PR,2017-07,13451
PR,2018-03,13391
PR,2019-09,13325
PR,2016-12,13245
PR,2016-10,13238
PR,2018-04,13179
PR,2020-04,13176
PR,2018-01,13154
BA,2020-02,13122
BA,2015-01,13116
PR,2018-08,13111
PR,2020-01,13107
RS,2017-08,13085
PR,2020-03,13069
PR,2017-06,12917
RS,2017-10,12852
GO,2016-03,12792
PR,2018-11,12777
PR,2017-09,12721
GO,2015-07,12562
RS,2015-01,12471
PR,2017-02,12462
GO,2015-08,12384
PR,2019-06,12368
PR,2018-05,12347
RS,2017-02,12309
RS,2017-06,12287
PE,2015-07,12238
PR,2015-02,12091
PR,2018-07,12031
PR,2017-04,11991
GO,2016-08,11975
RS,2020-05,11965
PR,2018-09,11958
PR,2018-12,11859
GO,2015-03,11845
RS,2019-01,11839
PR,2020-02,11791
RS,2017-07,11790
GO,2015-09,11767
PE,2015-08,11661
GO,2016-01,11654
PR,2017-12,11643
GO,2015-06,11628
GO,2015-05,11623
  ,2018-07,11590
PR,2019-11,11568
PR,2018-02,11564
PR,2019-12,11553
GO,2017-03,11527
RS,2020-04,11459
GO,2016-06,11362
GO,2015-12,11317
RS,2018-03,11285
GO,2016-02,11260
GO,2015-04,11147
RS,2017-11,11119
PR,2018-06,11043
RS,2018-04,11020
RS,2017-09,11003
GO,2017-01,11001
PE,2015-09,10983
RS,2017-04,10914
GO,2015-11,10907
RS,2019-05,10880
RS,2019-10,10877
CE,2015-07,10873
GO,2016-05,10867
RS,2020-01,10821
GO,2015-10,10759
RS,2018-10,10753
GO,2016-07,10741
PE,2016-03,10728
GO,2016-04,10724
RS,2020-03,10659
RS,2018-01,10620
PE,2016-08,10591
RS,2018-05,10580
RS,2018-07,10536
PE,2015-06,10513
SC,2015-07,10494
RS,2018-08,10480
GO,2017-08,10478
PE,2015-03,10470
GO,2016-11,10358
PR,2015-01,10355
RS,2019-02,10322
RS,2019-03,10316
PE,2016-01,10315
RS,2019-04,10271
GO,2017-05,10256
PE,2016-02,10215
GO,2016-09,10188
RS,2019-07,10175
PE,2015-05,10136
SC,2016-08,10127
GO,2016-12,10110
RS,2019-08,10108
GO,2020-04,10059
GO,2020-05,9992
RS,2018-11,9984
CE,2016-04,9926
PE,2015-10,9853
CE,2015-03,9774
RS,2017-12,9768
CE,2015-08,9764
CE,2015-05,9745
PE,2015-12,9743
PE,2017-08,9742
GO,2016-10,9713
CE,2016-03,9709
PE,2015-11,9668
RS,2018-06,9632
RS,2019-09,9616
GO,2020-01,9592
PE,2016-04,9583
SC,2015-08,9572
SC,2016-03,9565
CE,2015-04,9561
SC,2015-06,9561
CE,2015-06,9555
SC,2015-05,9542
GO,2019-01,9533
SC,2015-03,9502
RS,2019-11,9486
RS,2018-09,9485
SC,2015-09,9433
RS,2019-12,9398
SC,2017-01,9397
RS,2018-12,9385
GO,2017-02,9371
PE,2015-04,9370
SC,2016-11,9303
SC,2016-07,9294
PE,2016-05,9245
PE,2017-05,9239
SC,2015-11,9227
RS,2020-02,9205
GO,2019-05,9174
SC,2017-03,9134
SC,2015-10,9124
CE,2015-09,9110
PE,2017-03,9104
GO,2017-07,9059
PE,2016-07,9051
CE,2016-05,9045
CE,2016-02,9037
PE,2016-06,9023
SC,2016-01,9009
GO,2017-10,9000
SC,2017-05,8999
GO,2020-03,8979
RS,2018-02,8976
GO,2019-07,8948
GO,2017-09,8946
GO,2018-01,8928
RS,2019-06,8912
GO,2017-06,8889
GO,2019-04,8864
GO,2017-04,8864
PE,2017-07,8843
PE,2016-09,8781
PE,2016-11,8776
GO,2019-03,8700
CE,2016-01,8682
SC,2016-06,8664
SC,2019-01,8631
GO,2018-10,8630
PE,2017-01,8596
GO,2019-08,8592
DF,2016-03,8562
SC,2017-08,8555
GO,2018-03,8535
GO,2019-02,8524
GO,2017-11,8517
SC,2020-05,8509
SC,2015-04,8468
SC,2016-04,8456
GO,2019-10,8443
PE,2017-06,8419
SC,2016-05,8363
CE,2016-08,8344
SC,2016-09,8314
PE,2016-10,8311
SC,2016-02,8267
SC,2015-12,8261
SC,2019-07,8162
GO,2019-12,8138
PE,2016-12,8123
GO,2018-04,8121
SC,2017-07,8097
CE,2016-06,8096
SC,2017-10,8062
CE,2015-10,8051
GO,2020-02,8044
CE,2015-12,8034
SC,2016-12,8022
PE,2017-09,8016
PE,2017-10,7960
GO,2018-08,7947
DF,2015-07,7931
GO,2018-11,7917
SC,2016-10,7891
DF,2016-08,7881
GO,2019-09,7877
GO,2018-12,7861
PE,2019-01,7821
CE,2015-11,7800
SC,2019-08,7793
GO,2017-12,7775
SC,2019-02,7770
CE,2017-03,7768
GO,2019-06,7754
SC,2020-01,7753
SC,2017-02,7752
SC,2018-01,7732
SC,2020-04,7726
DF,2019-01,7717
GO,2018-05,7713
DF,2016-01,7685
GO,2015-02,7673
SC,2017-11,7672
GO,2018-02,7656
PE,2020-05,7653
SC,2019-05,7652
DF,2015-03,7651
SC,2017-09,7602
PE,2019-07,7600
DF,2015-12,7559
GO,2019-11,7554
DF,2017-08,7548
DF,2017-03,7534
SC,2019-04,7519
SC,2017-06,7513
PE,2019-05,7507
CE,2017-01,7496
PE,2019-04,7492
DF,2017-01,7473
SC,2018-08,7471
SC,2019-10,7451
PE,2017-11,7448
PE,2018-01,7447
DF,2020-05,7413
SC,2018-10,7403
SC,2019-03,7380
DF,2020-04,7337
PE,2018-04,7328
DF,2016-02,7327
PE,2017-04,7321
SC,2018-03,7320
SC,2020-03,7308
CE,2017-05,7297
SC,2018-04,7293
CE,2016-07,7276
SC,2019-09,7268
DF,2017-05,7260
GO,2018-09,7248
SC,2017-04,7242
PE,2020-04,7232
PE,2018-08,7229
PE,2019-08,7219
PE,2020-01,7214
DF,2016-04,7195
CE,2016-11,7186
DF,2015-05,7173
DF,2016-07,7169
DF,2016-06,7167
DF,2015-09,7120
DF,2020-01,7118
DF,2016-05,7102
PE,2017-02,7087
DF,2015-08,7083
CE,2016-09,7082
CE,2017-08,7073
CE,2016-10,7070
PE,2018-03,7064
PE,2018-05,7064
DF,2019-05,7052
DF,2019-07,7046
DF,2016-12,7044
PE,2015-02,7043
DF,2019-04,6998
PE,2018-07,6957
DF,2018-03,6944
DF,2015-06,6934
PE,2018-10,6921
DF,2020-03,6915
CE,2016-12,6906
CE,2020-05,6901
DF,2019-02,6898
GO,2018-06,6875
SC,2018-11,6862
CE,2019-01,6854
SC,2018-05,6823
GO,2018-07,6820
PE,2020-03,6792
DF,2015-04,6789
SC,2019-11,6772
ES,2015-07,6770
DF,2019-08,6767
PE,2019-12,6761
DF,2016-11,6756
SC,2018-07,6733
PE,2019-03,6683
DF,2019-03,6678
SC,2020-02,6664
DF,2019-10,6656
DF,2018-10,6622
CE,2017-07,6606
DF,2017-09,6603
DF,2015-11,6585
PE,2018-11,6581
DF,2017-07,6579
SC,2019-06,6579
PE,2018-06,6578
SC,2018-02,6573
DF,2017-10,6564
PE,2017-12,6558
PE,2018-12,6548
PE,2019-10,6546
SC,2017-12,6545
DF,2015-10,6537
DF,2018-04,6522
DF,2017-06,6509
CE,2019-05,6509
SC,2019-12,6498
PE,2019-06,6485
CE,2017-10,6479
SC,2018-09,6479
SC,2018-12,6474
DF,2018-01,6466
CE,2020-01,6430
DF,2016-09,6425
DF,2019-09,6421
PE,2019-02,6419
DF,2019-12,6412
PE,2019-09,6411
CE,2019-07,6391
DF,2017-02,6367
PE,2018-02,6349
DF,2018-05,6349
CE,2019-04,6349
CE,2017-06,6325
DF,2018-08,6323
CE,2020-04,6315
DF,2017-04,6306
SC,2015-02,6291
DF,2017-11,6282
ES,2015-03,6254
DF,2016-10,6248
PE,2020-02,6240
ES,2015-08,6240
SC,2018-06,6222
DF,2018-11,6219
CE,2017-02,6199
CE,2017-11,6193
PE,2018-09,6192
CE,2017-04,6131
ES,2015-06,6128
GO,2015-01,6117
CE,2018-01,6116
CE,2017-09,6114
CE,2018-05,6052
CE,2019-02,6052
PE,2019-11,6038
CE,2018-04,5997
DF,2020-02,5989
PA,2016-03,5987
DF,2018-02,5986
CE,2018-10,5981
DF,2019-11,5952
CE,2018-03,5928
CE,2020-03,5870
DF,2018-12,5855
ES,2015-09,5797
CE,2018-07,5766
CE,2018-08,5761
ES,2016-03,5750
DF,2019-06,5747
DF,2017-12,5704
DF,2018-09,5690
CE,2019-03,5676
CE,2018-12,5666
ES,2015-05,5662
PE,2015-01,5654
CE,2015-02,5621
SC,2015-01,5573
CE,2019-12,5537
ES,2015-04,5524
CE,2019-10,5502
CE,2017-12,5500
CE,2019-08,5477
CE,2019-06,5461
PA,2016-05,5458
CE,2018-11,5444
PA,2016-06,5442
CE,2020-02,5426
DF,2018-07,5389
ES,2016-01,5361
DF,2018-06,5360
ES,2016-04,5291
CE,2018-02,5288
ES,2016-08,5276
CE,2019-09,5272
ES,2015-10,5265
PA,2016-04,5239
CE,2018-06,5211
ES,2016-05,5151
  ,2015-01,5123
ES,2017-01,5119
PA,2015-08,5115
ES,2015-11,5108
ES,2016-02,5095
ES,2015-12,5075
ES,2017-05,5069
PA,2015-07,4990
ES,2017-03,4973
CE,2018-09,4961
DF,2015-02,4954
PA,2016-02,4949
CE,2015-01,4921
ES,2016-06,4895
  ,2015-02,4870
ES,2016-07,4868
PA,2015-06,4861
PA,2015-09,4816
PA,2016-08,4808
PA,2016-07,4804
CE,2019-11,4799
PA,2015-05,4788
ES,2016-11,4739
PA,2015-03,4732
ES,2016-12,4703
PA,2016-01,4626
PA,2017-03,4589
PA,2017-01,4525
ES,2017-08,4510
ES,2016-09,4485
ES,2016-10,4463
PA,2015-10,4398
ES,2017-06,4376
DF,2015-01,4362
PA,2016-09,4325
PA,2015-04,4298
ES,2018-03,4283
ES,2017-07,4282
PA,2015-12,4265
PA,2016-10,4235
ES,2017-04,4195
PA,2016-11,4158
MA,2015-07,4138
PA,2017-05,4084
ES,2019-01,4077
PA,2015-11,4075
ES,2020-01,4025
ES,2020-05,3966
ES,2017-02,3960
ES,2017-10,3948
ES,2020-04,3876
PA,2016-12,3824
ES,2020-03,3813
PA,2017-08,3807
ES,2019-10,3805
ES,2019-07,3767
PA,2017-02,3753
MA,2015-05,3749
MA,2015-08,3733
ES,2018-05,3714
ES,2017-09,3710
ES,2015-02,3701
ES,2017-11,3693
ES,2018-01,3672
ES,2018-04,3671
MA,2015-11,3642
PA,2017-07,3624
ES,2019-02,3613
PA,2017-10,3608
PA,2020-05,3603
MA,2016-03,3591
MA,2015-06,3587
ES,2019-09,3586
ES,2018-10,3583
MA,2015-04,3583
PA,2018-03,3572
ES,2019-12,3570
ES,2019-05,3559
PA,2019-01,3556
ES,2018-08,3533
PA,2017-04,3522
  ,2018-06,3514
PA,2017-11,3486
PA,2020-04,3484
PA,2018-01,3482
MA,2016-01,3459
ES,2019-11,3448
MA,2015-03,3448
PA,2017-06,3438
MA,2016-04,3422
ES,2019-04,3398
PA,2018-04,3379
ES,2019-08,3375
ES,2018-07,3361
MA,2015-09,3357
PA,2015-02,3355
ES,2019-03,3352
ES,2018-11,3341
SE,2015-07,3314
PA,2017-09,3280
ES,2020-02,3275
ES,2017-12,3224
MA,2016-02,3207
MA,2016-05,3206
PA,2018-02,3191
ES,2015-01,3187
ES,2018-09,3165
PA,2018-05,3162
MA,2015-12,3138
MA,2015-10,3122
ES,2018-06,3109
ES,2019-06,3105
PA,2019-02,3086
MA,2017-03,3067
PA,2019-05,3067
PA,2018-08,3063
ES,2018-02,3062
ES,2018-12,3058
MS,2015-07,3048
PA,2017-12,3047
PB,2015-07,3044
PA,2019-07,3032
PA,2018-12,3027
SE,2015-08,3026
PA,2020-03,3015
MS,2015-05,3013
PA,2018-10,2996
PA,2019-04,2985
PA,2018-11,2983
AM,2020-05,2973
PB,2016-03,2963
AM,2020-04,2963
PB,2015-08,2949
PA,2020-01,2941
MA,2017-05,2939
SE,2015-09,2914
MS,2015-06,2911
SE,2015-06,2895
MS,2015-09,2887
MA,2017-01,2886
MA,2016-06,2871
PA,2019-03,2866
SE,2015-05,2845
PB,2015-09,2830
PA,2018-09,2827
PA,2019-08,2824
PB,2016-04,2817
PB,2020-05,2814
PB,2016-08,2808
PB,2017-08,2796
MS,2015-03,2786
PB,2019-07,2784
SE,2016-03,2783
PB,2017-05,2781
SE,2015-12,2777
SE,2016-01,2776
PB,2019-01,2775
MA,2016-08,2772
MS,2016-01,2771
PB,2015-05,2768
PB,2019-05,2767
