assunto,marca,solicitacoes
Dados cadastrais ou número da linha,VIVO,8815
Dados cadastrais ou número da linha,TIM,8758
Dados Cadastrais,VIVO,8501
NÃO APLICÁVEL,NEXTEL,8411
Atuação Anatel,Outros,8333
Mudança de Plano,SKY,8300
Oferta,TIM,8194
Banda larga - ADSL,Outros,7846
Dados Cadastrais,TIM,7681
"Documento de Cobrança, Contrato, Relatório, Gravações",SKY,7546
Crítica à Anatel,Outros,7337
Mensagens Publicitárias,CLARO,7311
Rádio FM,Outros,7304
Instalação ou Ativação ou Habilitação,ALGAR,7251
Dados Cadastrais,OI,7197
Pós-Pago,Outros,6926
Longa Distância/Interurbano,NET,6867
Serviços de Proteção ao Crédito,VIVO,6739
"Bloqueio, desbloqueio ou Suspensão",SKY,5793
Serviços de Proteção ao Crédito,OI,5637
Bloqueio ou Suspensão e Desbloqueio,Outros,5477
Dados cadastrais ou número da linha,OI,5428
Serviços de Proteção ao Crédito,CLARO,5141
Pré-Pago,Outros,4732
Cancelamento,ALGAR,4616
Mensagens Publicitárias,TIM,4576
Oferta,SKY,4447
Mudança de Endereço,TIM,4434
Serviços de Proteção ao Crédito,TIM,4273
Dados Cadastrais,CLARO,4165
"Plano de serviços, Oferta, Bônus, Promoções e Mensagens Publicitárias",SKY,4161
"Documento de Cobrança, Contrato, Relatório, Gravações",NEXTEL,3917
Dados Cadastrais,NET,3709
"Oferta, Bônus, Promoções, Mensagens Publicitárias e Mudança de Plano",Outros,3654
Longa Distância/Interurbano,VIVO,3640
Dados cadastrais e número da linha,NEXTEL,3607
Rádio Comunitária,Outros,3596
Dados cadastrais e número da linha,SKY,3444
Mudança de Plano,NEXTEL,3406
Serviços de Proteção ao Crédito,NET,3180
"Oferta, Bônus, Promoções, Mensagens Publicitárias e Mudança de Plano",ALGAR,3158
"Bloqueio, desbloqueio ou Suspensão",NEXTEL,3150
Bônus e Promoções,NET,3146
Mensagens Publicitárias,OI,3058
TV Digital,Outros,3052
"Qualidade, Funcionamento e Reparo",SERCOMTEL,2956
"Qualidade, Funcionamento e Reparo",HUGHES,2906
Bônus e Promoções,SKY,2871
Longa Distância/Interurbano,OI,2805
"Plano de serviços, Oferta, Bônus, Promoções e Mensagens Publicitárias",NEXTEL,2754
Mudança de Endereço,ALGAR,2653
Qualidade e Funcionamento do Serviço ou Equipamento,ALGAR,2505
Longa Distância/Interurbano,TIM,2441
Mudança de Endereço,Outros,2382
Bloqueio ou Suspensão e Desbloqueio,ALGAR,2308
"Documento de Cobrança, Contrato, Gravações",Outros,2248
Cobrança,HUGHES,2244
Arrecadação/Cobrança,Outros,2234
"Bloqueio, desbloqueio ou Suspensão",Outros,2205
Oferta,NEXTEL,2192
Atendimento,ALGAR,2178
Dados Cadastrais,SKY,2085
Mensagens Publicitárias,VIVO,2056
Ressarcimento,Outros,2055
Internet Via Rádio,Outros,1984
Crédito Pré-pago,ALGAR,1979
Longa Distância/Interurbano,CLARO,1975
Local,Outros,1945
Cancelamento,HUGHES,1897
TV a Cabo,Outros,1806
Regulamentação,Outros,1738
Certificação e Homologação de Produtos (Equipamento) de Telecomunicações,Outros,1702
Portabilidade,Outros,1662
Código de Acesso,OI,1587
Cobrança,SERCOMTEL,1529
Código de Acesso,VIVO,1525
Certificação e Homologação de Produtos (Equipamentos) de Telecomunicações,Outros,1518
Serviços de Proteção ao Crédito,NEXTEL,1500
"Plano de serviços, Oferta, Bônus, Promoções e Mensagens Publicitárias",Outros,1407
Acompanhamento de obrigações,Outros,1371
Solicitação de Vista de Processo ou Documento,Outros,1347
Outorga,Outros,1257
Ressarcimento,ALGAR,1256
"Qualidade, Funcionamento e Reparo",Brisanet,1184
Não aplicável,Outros,1149
Portabilidade,ALGAR,1136
Dados Cadastrais,NEXTEL,1092
Código de Acesso,TIM,1079
"Documento de Cobrança, Contrato, Gravações",ALGAR,993
Bônus e Promoções,NEXTEL,960
Crédito Pré-pago,NEXTEL,924
TV,Outros,915
Dificuldade em cancelar,Outros,907
Crédito Pré-pago,NET,894
Planos de Serviços,NEXTEL,860
Rádio AM,Outros,773
"Qualidade, Funcionamento e Reparo",Correios Celular,751
Longa Distância/Interurbano,Outros,747
Serviços de Proteção ao Crédito,SKY,739
Dados cadastrais ou número da linha,SKY,723
Cobrança,Brisanet,707
Dados cadastrais ou número da linha,NEXTEL,621
Programa Banda Larga nas Escolas (PBLE),OI,608
Dados cadastrais e número da linha,Outros,605
Atendimento,HUGHES,580
"Plano de serviços, Oferta, Bônus, Promoções e Mensagens Publicitárias",ALGAR,560
Consulta Pública,Outros,553
Portabilidade,Correios Celular,548
Dados cadastrais e número da linha,ALGAR,532
"Qualidade, Funcionamento e Reparo",CABO TELECOM,521
Qualidade e Funcionamento do Serviço ou Equipamento,SERCOMTEL,519
Longa Distância/Interurbano,NEXTEL,513
"Certificação / homologação de produto (fabricação, comercialização ou utilização)",Outros,479
"Bloqueio, desbloqueio ou Suspensão",ALGAR,478
Banda larga - WiFi,Outros,478
Crédito Pré-pago,Outros,474
Instalação ou Ativação ou Habilitação,HUGHES,461
Código de Acesso,NET,450
Código de Acesso,CLARO,445
Instalação ou Ativação ou Habilitação,SERCOMTEL,432
Oferta,Outros,424
Crédito Pré-pago,Correios Celular,399
"Documento de Cobrança, Contrato, Relatório, Gravações",Outros,395
DTH (Via Satélite),Outros,382
